good_nav_pix,tot_nav_pix,fidelity,Rover.pitch,Rover.roll
6880,11035,62.3,1.5119,1.3896
6880,11035,62.3,1.5119,1.3896
6798,10673,63.7,1.5149,1.3587
6882,10708,64.3,1.5606,1.4119
6877,10956,62.8,1.5867,1.4461
6892,11200,61.5,1.6068,1.4676
6892,11200,61.5,1.6068,1.4676
6950,11555,60.1,1.6147,1.4747
6915,11419,60.6,1.6073,1.4582
6940,11550,60.1,1.5803,1.4411
6940,11550,60.1,1.5803,1.4411
6897,11161,61.8,1.5304,1.3959
6804,10669,63.8,1.5314,1.3635
6887,10811,63.7,1.5631,1.4176
6887,10811,63.7,1.5631,1.4176
6868,10934,62.8,1.5958,1.4508
6976,11861,58.8,1.6751,1.5134
6976,11861,58.8,1.6751,1.5134
7021,12560,55.9,1.7194,1.5693
7076,13393,52.8,1.6746,1.5711
7076,13393,52.8,1.6746,1.5711
6890,12373,55.7,1.6089,1.4802
6852,11323,60.5,1.5635,1.4245
6837,10866,62.9,1.459,1.3197
6837,10866,62.9,1.459,1.3197
6723,10318,65.2,1.4706,1.3161
6764,10388,65.1,1.5398,1.4002
6820,10758,63.4,1.5818,1.4433
6820,10758,63.4,1.5818,1.4433
6864,11177,61.4,1.6122,1.485
6896,11530,59.8,1.6078,1.4943
6872,11502,59.7,1.6021,1.4609
6872,11502,59.7,1.6021,1.4609
6917,11349,60.9,1.5737,1.434
6870,11000,62.5,1.4943,1.4204
6617,10289,64.3,1.4857,1.3385
6617,10289,64.3,1.4857,1.3385
6792,10568,64.3,1.4193,1.2904
6502,9969,65.2,1.4097,1.2717
6433,9838,65.4,1.4154,1.2878
6433,9838,65.4,1.4154,1.2878
6499,9927,65.5,1.4128,1.2873
6378,9667,66.0,1.403,1.2401
6458,9756,66.2,1.3585,1.2393
6458,9756,66.2,1.3585,1.2393
6076,8930,68.0,1.3757,1.2456
6298,9525,66.1,1.3693,1.2979
6298,9525,66.1,1.3693,1.2979
6016,8931,67.4,1.4253,1.2839
6746,10458,64.5,1.5035,1.3809
6746,10458,64.5,1.5035,1.3809
6765,10574,64.0,1.5223,1.3904
6815,10759,63.3,1.4729,1.3891
6535,10060,65.0,1.4667,1.3505
6535,10060,65.0,1.4667,1.3505
6613,10134,65.3,1.4102,1.29
6270,9503,66.0,1.3799,1.2402
6199,9357,66.2,1.3653,1.2345
6199,9357,66.2,1.3653,1.2345
6143,9002,68.2,1.358,1.2359
6086,8926,68.2,1.3543,1.2317
6058,8866,68.3,1.3144,1.2416
5740,7817,73.4,1.299,1.1593
5740,7817,73.4,1.299,1.1593
5955,8267,72.0,1.2954,1.1725
5858,8128,72.1,1.2892,1.1934
5743,7881,72.9,1.3003,1.2282
5743,7881,72.9,1.3003,1.2282
5711,7972,71.6,1.322,1.1912
6000,8621,69.6,1.324,1.166
6133,8742,70.2,1.3139,1.1904
6133,8742,70.2,1.3139,1.1904
6023,8419,71.5,1.3151,1.1985
6138,9279,66.1,1.3821,1.2585
6138,9279,66.1,1.3821,1.2585
6169,9368,65.9,1.3677,1.2718
6064,9045,67.0,1.3635,1.2759
6064,9045,67.0,1.3635,1.2759
6043,8963,67.4,1.4006,1.2704
6484,9938,65.2,1.4589,1.3159
6484,9938,65.2,1.4589,1.3159
6725,10265,65.5,1.4753,1.3787
6610,10196,64.8,1.4992,1.3657
6811,10570,64.4,1.5524,1.4121
6811,10570,64.4,1.5524,1.4121
6857,10818,63.4,1.5454,1.4493
6740,10676,63.1,1.5976,1.4396
6902,11301,61.1,1.6364,1.4853
6953,11681,59.5,1.674,1.5274
6953,11681,59.5,1.674,1.5274
7015,12713,55.2,1.6845,1.5338
7072,12871,54.9,1.6562,1.5073
7002,12105,57.8,1.6074,1.4967
